response_class_id	compound_setting_id	replicate_id	response_value
response_class_A	compound_setting_1	replicate_1	8.33
response_class_A	compound_setting_2	replicate_1	17.83
response_class_A	compound_setting_3	replicate_1	24.08
response_class_A	compound_setting_4	replicate_1	35.52
response_class_A	compound_setting_1	replicate_2	6.98
response_class_A	compound_setting_2	replicate_2	15.34
response_class_A	compound_setting_3	replicate_2	25.03
response_class_A	compound_setting_4	replicate_2	34.72
response_class_A	compound_setting_1	replicate_3	10.22
response_class_A	compound_setting_2	replicate_3	20.73
response_class_A	compound_setting_3	replicate_3	30.23
response_class_A	compound_setting_4	replicate_3	32.74
response_class_B	compound_setting_1	replicate_1	7.65
response_class_B	compound_setting_2	replicate_1	7.37
response_class_B	compound_setting_3	replicate_1	7.35
response_class_B	compound_setting_4	replicate_1	9.0
response_class_B	compound_setting_1	replicate_2	5.25
response_class_B	compound_setting_2	replicate_2	6.3
response_class_B	compound_setting_3	replicate_2	8.55
response_class_B	compound_setting_4	replicate_2	7.25
response_class_B	compound_setting_1	replicate_3	9.34
response_class_B	compound_setting_2	replicate_3	8.94
response_class_B	compound_setting_3	replicate_3	6.09
response_class_B	compound_setting_4	replicate_3	8.11
